39,24,72,93,99,28,46,73,8,60,10,11,79,70,5,51,57,12,61,14,81,92,59,3,98,16,35,25,83,58,71,31,26,42,7,17,90,18,40,74,86,2,89,77,13,65,97,47,48,9,50,1,84,64,68,41,56,76,0,88,82,52,36,85,23,87,32,67,15,69,27,6,55,66,53,75,37,43,30,54,34,78,38,33,45,62,63,80,29,21,20,91,49,96,94,95,4,44,22,19
19,95,97,21,35,60,49,69,74,83,10,11,94,14,29,24,54,91,51,16,90,87,92,93,39,25,99,27,84,85,9,34,2,48,36,71,77,61,81,15,55,41,42,86,78,45,59,12,6,31,5,44,52,75,57,30,62,47,46,23,58,65,56,32,64,63,4,96,89,13,22,20,72,73,82,38,76,28,18,79,66,70,7,40,17,80,98,33,88,0,8,53,67,43,37,3,50,68,1,26
0,1,69,95,91,82,75,46,39,4,97,87,50,22,34,64,16,62,72,58,60,49,52,48,24,33,26,27,80,63,53,76,51,71,15,28,61,77,7,35,40,41,42,43,6,10,5,74,57,54,21,18,31,67,78,88,65,93,17,59,23,19,9,37,90,55,20,89,98,2,38,79,84,45,8,29,56,25,70,32,47,81,92,83,11,68,73,36,94,14,86,3,66,12,99,44,96,30,13,85
0,7,39,67,99,5,51,21,15,9,97,65,57,2,75,27,56,10,38,19,77,76,26,23,24,98,46,58,48,29,12,94,73,60,72,44,36,59,11,4,62,16,71,30,35,45,52,91,80,61,20,17,83,49,70,42,89,25,40,37,41,54,47,81,33,6,79,34,68,14,32,55,95,93,74,8,18,64,78,28,53,63,69,22,31,85,86,1,88,3,87,13,43,84,92,90,96,82,66,50
0,54,6,22,70,50,53,7,28,15,59,64,29,82,84,34,56,17,37,57,46,21,41,19,44,11,67,26,5,89,47,31,63,49,74,60,48,78,83,69,27,45,2,36,62,99,43,30,1,33,39,73,85,77,13,94,98,25,58,51,79,14,16,93,42,65,9,80,68,92,81,71,72,23,88,32,76,66,20,38,40,91,10,24,35,52,86,87,75,55,61,90,8,97,18,95,96,3,4,12
18,34,99,3,15,86,57,12,58,41,97,2,7,92,45,38,49,75,1,63,21,36,90,70,51,11,26,8,60,16,30,42,6,35,53,13,5,10,71,39,55,0,80,43,87,74,46,4,82,33,50,22,40,62,14,79,24,94,29,19,28,61,27,20,83,72,78,93,68,69,54,98,96,25,56,17,76,88,23,37,73,91,89,59,9,85,84,64,65,47,32,81,95,67,44,48,77,31,66,52
8,13,2,70,63,46,79,66,7,62,10,21,59,83,14,80,54,17,74,6,24,90,49,33,19,56,34,27,89,76,32,40,18,60,38,55,36,37,58,15,28,91,92,43,44,81,95,11,23,50,52,93,16,64,71,94,29,47,87,77,97,67,51,86,45,65,9,26,31,84,88,57,69,73,5,72,0,20,78,1,12,61,96,82,41,53,4,68,30,3,25,75,85,35,42,39,22,48,98,99
20,36,54,3,70,2,6,51,39,65,91,69,86,38,25,18,15,17,44,21,29,22,83,23,48,58,68,62,28,0,97,84,75,76,7,35,77,37,61,46,9,4,89,93,5,87,1,8,72,64,78,16,52,47,49,66,12,57,14,59,80,33,53,10,11,79,41,42,92,50,55,71,73,19,90,32,88,34,60,98,63,24,82,27,31,81,99,26,67,13,94,45,85,56,74,95,96,30,40,43
59,57,29,68,26,58,6,82,27,5,56,90,76,92,52,65,11,10,60,64,70,73,36,9,51,94,4,46,28,34,21,32,41,33,8,35,50,42,44,0,40,67,37,77,43,45,62,39,48,30,1,25,14,53,54,19,78,87,74,96,85,66,63,22,98,75,38,71,49,69,93,2,72,3,12,99,55,23,15,79,80,47,31,61,83,24,13,84,88,89,81,91,86,16,20,95,7,97,17,18
5,57,51,31,4,91,6,20,8,88,94,93,53,7,90,70,24,0,75,55,72,66,22,44,69,29,36,82,63,9,52,87,32,23,38,13,18,98,35,85,42,74,81,40,33,37,15,3,78,28,25,12,30,80,54,67,64,27,49,43,60,14,45,21,17,83,16,71,68,84,95,50,10,73,47,56,76,19,1,97,39,96,2,34,89,58,26,46,86,92,61,77,79,48,62,59,99,65,41,11
